,year,month,author_name,paper_title,process,CW Performance,frequency,Psat (dBm),PAEmax (%),PA Efficieny Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),PA_type,node
632,2015,5,Alexander,A 120 Watt GaN Power Amplifier MMIC Utilizing Harmonic Tuning Circuits For S-band Applications,GaN ,,3.0,53,47,PAE,,,22,,,,,,,,GaN on SiC (250nm)
633,2016,2,Chen,A GaN HEMTs Nonlinear Large-Signal Statistical Model and Its Application in S-Band Power Amplifier Design,GaN ,,3.0,36,60,PAE,,,,,,,,,,,GaN HEMT
634,2018,11,Giofrè,An S-Band GaN MMIC High Power Amplifier with 50W Output Power and 55% Power Added Efficiency,GaN,,3.0,47,55,PAE,,,36,,,,,,,,0.25um
635,2018,1,Halberg,Characterization of linear power amplifiers for LTE applications,GaN,,3.0,35,52,PAE,29,35,12,,,5,27,27.4,LTE(5MHz),,GaN HEMT
636,2018,5,Zheng,S Band Broadband High Power GaN Amplifier for Digital T/R Modules,GaN,,3.0,53,45,PAE,,,43.2,,,,,,,,GaN
637,2018,11,Tubitak,High Efficiency Wideband Power Amplifier with Class-J Configuration,GaN,,3.0,39.84,68,PAE,,,,,,5,,,WCDMA(5MHz),,GaN
638,2019,10,Li,Ultra-Wideband Dual-Mode Doherty Power Amplifier Using Reciprocal Gate Bias for 5G Applications,GaN ,,3.0,41,68,DE,,,,,,,,,,,CGH40010F
639,2019,12,chen,The Nested-Mode Power Amplifiers for Highly Efficient Multi-Octave Applications,GaN ,0.001-3.1,3.0,40.2,57.5,DE,,,12.5,,,,30.5(3.1GHz),27.5(3.1GHz DE),16QAM(20MHz),,CGH40010
640,2020,1,Fia,A 1.8–3.4-GHz Bandwidth-Improved Reconfigurable Mode Doherty Power Amplifier Utilizing Switches,GaN ,1.8-3.4,3.0,43.7,62.1,DE,40*,58*,13*,,,,,,,,CGH40010F
641,2021,6,Poluri,Designing a Broadband Amplifier Without Load–Pull,GaN,2.4 - 4.6 GHz,3.0,43,62,DE,,,14,,,,,,,Analog,CGH40010F
642,2022,5,Liu,Simulated Annealing Particle Swarm Optimization for a Dual-input Broadband GaN Doherty like Load-Modulated Balance Amplifier Design,GaN,2.5 - 3.5,3.0,47.6,69.7,DE,,,16,,,,,,,,CGH40006P
643,2022,6,Roberg,A 50 W CW 1-6 GHz GaN MMIC Power Amplifier Module with Greater than 30 % Power Added Efficiency,GaN,1-6.0,3.0,47.7,35,PAE,,,32,,,,,,,,QGaN225
644,2013,11,Chen,Co-Design of Highly Efficient Power Amplifier and High-Q Output Bandpass Filter,GaN,,3.05,40,68,PAE,37,65,11,,,,,,,,GaN
645,2020,5,Pang,Analysis and Design of Highly Efficient Wideband RF-Input Sequential Load Modulated Balanced Power Amplifier ,GaN,3.3GHz,3.05,42.3,60.8,DE,,,9.5,,,,,,,,
646,2013,12,Chen_2,Co-Design of Multi-Band High-Efficiency Power Amplifier and Three-Pole High- Tunable Filter,GaN,,3.1,40,64,DE,,,,,,,,,,,GaN
647,2013,8,Chen,A 3.1-GHz Class-F Power Amplifier With 82% Power-Added-Efficiency,GaN,,3.1,40,82,PAE,,,15,,,,,,,,GaN
648,2018,9,Piacibello,Design of an S-Band Chireix Outphasing Power Amplifier Based on a Systematic Bandwidth Limitation Analysis,GaN,,3.1,42.9,42,PAE,,,6.2,,,,,,,,CGH40010F from Wolfspeed 
649,2020,8,Pang,Extend High Efficiency Range of Doherty Power Amplifier by Modifying Characteristic Impedance of Transmission Lines in Load Modulation Network,GaN,,3.15,45,75.6,DE,,,10,5-Carrier 100MHz 8dB-PAPR,,,37,56.6 (DE),OFDM,,Wolfspeed CGH40010F
650,2018,6,Oh,An S-band Internally Matched Packaged GaN HEMT with over 720W Peak Power and 58% PAE,GaN,,3.2,58.57,45,PAE,,,10,,,,,,,,
651,2021,1,Bent,Single-Chip 100-Watt S-band Power Amplifier in 0.25 m GaN HEMT MMIC Technology,GaN,2.8 - 3.4 GHz,3.2,50.4,55,PAE,,,25,,,,,,,Analog,0.25um GaN
652,2022,2,Mary,Design of Ultra-Wideband Power Amplifier Based on Extended Resistive Continuous Class B/J Mode,GaN,0.5-3.25,3.2,40,55,PAE,,,10,LTE,<-27 ACPR,20,,30.7,,,CG2H40010F
653,2018,8,Cai,A Concurrent Dual-Band High-Efficiency Power Amplifier With a Novel Harmonic Control Network,GaN,,3.22,39.3,76.7,PAE,,,12.3,,,,,,,,CGH40010 GaN HEMT
654,2018,10,Cai,A Concurrent Dual-Band High-Efficiency Power Amplifier With a Novel Harmonic Control Network,GaN,,3.22,39.3,76.7,PAE,,,12.3,,,,,,,,
655,2008,11,Colantonio,A Design Technique for Concurrent Dual-Band Harmonic Tuned Power Amplifier,GaN,,3.3,32.5,46,DE,30,29,9.9,,,,,,OFDM 802.16e,,GaN_HEMT
656,2018,9,Saad,A 1.8–3.8-GHz Power Amplifier With 40% Efficiency at 8-dB Power Back-Off,GaN,,3.3,44.5,62,DE,,,10,,,,,,,,
657,2018,4,Zhao,"A high PAE, highly integrated, low-cost 500W pulsed S-band GaN IMFET power amplifier",GaN,,3.3,57.24,66,PAE,55,50,14,,,,,,,,Qorvo 0.25um GaN
658,2019,1,Cipriani,Ka-Band GaN-on-Si 4W MMIC High Power Amplifier for Millimetre-wave Radar,GaN,3.3-3.6,3.3,45,70,DE,40,50,14,,,,,,,,GaN
659,2020,5,Pang,Analysis and Design of Highly Efficient Wideband RF-Input Sequential Load Modulated Balanced Power Amplifier ,GaN,3.3GHz,3.3,43.7,74.8,DE,,,10.3,40 MHz 8-dB PAPR,,,35.5,57.8 (DE),OFDM,Digital,HEMTs CGH40006s
660,2020,5,Pang,Analysis and Design of Highly Efficient Wideband RF-Input Sequential Load Modulated Balanced Power Amplifier ,GaN,3.3GHz,3.3,43.7,74.8,DE,,,11.3,80 MHz 10-dB PAPR,,,33.8,49.9 (DE),OFDM,Digital,HEMTs CGH40006s
661,2020,5,Pang,Analysis and Design of Highly Efficient Wideband RF-Input Sequential Load Modulated Balanced Power Amplifier ,GaN,3.3GHz,3.3,43.7,74.8,DE,,,12.3,200M 10-dB PAPR,,,33,48.2 (DE),OFDM,Digital,HEMTs CGH40006s
662,2020,10,Nasri,A 3-3.8 GHz Class-J GaN HEMT Power Amplifier,GaN,3 -3.8 GHz,3.3,40,54,DE,,,10,5MHz QAM,,,,,ACPR= -26.5 dB,Analog,HEMT CGH40010F
663,2022,Early Access,Liu,Novel Design Space of Broadband High-Efficiency Parallel-Circuit Class-EF Power Amplifiers,GaN,2.6 - 3.9,3.3,30.9,71.9,PAE,,,10.6,,,,,,,,CG2H40010F
664,2012,6,Xia,Highly Efficient GaN Doherty Power Amplifier with 100 MHz Signal Bandwidth for 3.5 GHz LTE-Advanced Application,GaN,,3.4,49.4,62.5,DE,,,,,,,41,43(DE),LTE,,GaN
665,2013,8,Xia,High-Efficiency GaN Doherty Power Amplifier for 100-Mhz LTE-Advanced Application Based on Modified Load Modulation Network,GaN,,3.4,49.5,63,DE,40,40,6.8,,,,40.4,42.5,LTE (100Mhz),,GaN HEMT
666,2016,5,Liu,A Concurrent 2.15/3.4 GHz Dual-Band Doherty Power Amplifier with Extended Fractional Bandwidth,GaN,,3.4,47,55,DE,,,,,-21.6,,39.1,43.4(DE),10*,,GaN
667,2018,6,Oh,An S-band Internally Matched Packaged GaN HEMT with over 720W Peak Power and 58% PAE,GaN ,,3.4,58.57,58,PAE,,,10.6,,,,,,,,GaN 
668,2018,6,Oh,An S-band Internally Matched Packaged GaN HEMT with over 720W Peak Power and 58% PAE,GaN,,3.4,58.57,58,PAE,,,10.6,,,,,,,,
669,2018,9,Piacibello,Design of an S-Band Chireix Outphasing Power Amplifier Based on a Systematic Bandwidth Limitation Analysis,GaN,,3.4,42.9,54,PAE,,,8.7,,,,,,,,CGH40010F from Wolfspeed 
670,2018,6,Wang,Codesign of High-Efficiency Power Amplifier and Ring-Resonator Filter Based on a Series of Continuous Modes and Even–Odd-Mode Analysis,GaN,,3.4,41.5*,68*,DE,,,,LTE (20Mhz),,,33.8,,,,
671,2018,5,Jie,High Efficiency Inverse Class-E Power Amplifiers for Pre-5G Application,GaN,,3.4,38.2,71,PAE,,,,,,,,,,,GaN HEMT
672,2019,12,Saad,The Continuum of Load Modulation Ratio From Doherty to Traveling-Wave Amplifiers,GaN,2.6-3.8 GHz,3.4,49,55,DE,43,50,14.5,40MHz LTE,,40,40,46(DE),,,GaN
673,2022,1,Zhang,A Dual-Band and Dual-State Doherty Power Amplifier Using Metal-Integrated and Substrate_x0002_Integrated Suspended Line Technology,GaN,3.4/4.9,3.4,44,70.7,DE,,,10,,,,,,,,
674,2016,5,Huang,A 80W High Gain and Broadband Doherty Power Amplifier for 4/5G Wireless Communication Systems,GaN,,3.45,49.5,70,DE,,,14.9,,,,41,54.5(DE),LTE (40 Mhz),,GaN
675,2016,5,Li,Design of Broadband High-Efficiency Power Amplifiers Based on the Hybrid Continuous Inverse Mode,GaN,,3.45,42,77.6,DE,,,,,,,,,,,GaN
676,2016,7,Li,Extend the Class-B to Class-J Continuum Mode by Adding Arbitrary Harmonic Voltage Elements,GaN ,,3.45,42,72,PAE,,,12,,,5 MHz,36,47.5(DE),WCDMA,,GaN HEMT CGH40010F
677,2020,2,Liu,Dual-band 3-way Doherty Power Amplifier with Extended Back-off Power and Bandwidth,GaN ,,3.45,48,50,DE,,,,,,,37.9,37.5(DE),Concurrent inter-band aggregated 20MHz WCDMA and 20MHz LTE,,CGHV1F40025
678,2007,6,Kobayashi,1-Watt Conventional and Cascoded GaN-SiC Darlington MMIC Amplifiers to 18 GHz,GaN,,3.5,31.7,21.4,PAE,30.3,16,14,,,,,,,,GaN-SiC
679,2011,6,Lee,highly Efficient Three-Stage Doherty Power Amplifier with Adaptive Driving Amplifier for 3.5 GHz WiMAX Applications,GaN ,,3.5,49.3,57,DE,,,11,,,,42.5,44(DE),WiMax,,GaN HEMTs
680,2011,2,Fagotti,Concurrent Hex-Band GaN Power Amplifier for Wireless Communication Systems,GaN,,3.5,35.6,32,PAE,,,8.3,,,,,,,,GaN
681,2012,8,Rubio,3-3.6 Ghz Wideband GaN Doherty Power Amplifier Exploiting Output Compensation Stages,GaN,,3.5,44,65,DE,33,31,,,,,,,,,GaN HEMT
682,2014,6,Ozen,Symmetrical Doherty Amplifier with High Efficiency over Large Output Power Dynamic Range,GaN ,,3.5,44.5,64,PAE,,,13,,,,35.5,52,LTE,,GaN HEMT
683,2015,5,Wu,A 3.4-3.6-GHz High Efficiency Gallium Nitride Power Amplifier Using Bandpass Output Matching Network,GaN,,3.5,37.5,78,PAE,,,13.5,,,,,,,,GaN
684,2016,6,Rubio,A 0.6–3.8 GHz GaN Power Amplifier Designed Through a Simple Strategy,GaN ,,3.5,40,55,PAE,,,10,,,28 MHz,,20,LTE,,GaN HEMT  CGH40010
685,2016,7,Shi,A Series of Inverse Continuous Modes for Designing Broadband Power Amplifiers,GaN ,,3.5,40,64,PAE,,,11,,,,,,,,GaN HEMT CGH40010F
686,2017,6,Darwish,An Extended Symmetric Doherty Power Amplifier with High Efficiency over a wide Power Range,GaN,,3.5,42.9,69,PAE,,,9,,,,33.81,,,,GaN
687,2018,9,Amirpour,Dynamic Load Modulated Low-Voltage GaN PA Using Novel Low-Loss GaN Varactors,GaN,,3.5,24,61,DE,,,8,,,,,,,,250nm
688,2018,9,Gashi,Investigations of Active Antenna Doherty Power Amplifier Modules Under Beam-Steering Mismatch,GaN,,3.5,46,56,PAE,,,10,,,,,,,,0.25um
689,2018,2,Huang,Design of Broadband High-Efficiency Power Amplifiers Based on the Hybrid Continuous Modes With Phase Shift Parameter,GaN CGH40010F,,3.5,41,72,DE,,,11,20 MHz LTE,,,35,,ACLR=-35dBc,,
690,2018,1,Halberg,Characterization of linear power amplifiers for LTE applications,GaN,,3.5,40,54,PAE,32,40,12,,,5,40,33.6,LTE(5MHz),,GaN HEMT
691,2018,1,Duh,A 3.5/5.9-GHz dual-band output matching network for an efficiency-optimized multiband amplifier,GaN,,3.5,37.2,45.9,PAE,,,,,,,,,,,GaN
692,2019,1,Lv,A Dual-Band GaN MMIC Power Amplifier With Hybrid Operating Modes for 5G Application,GaN,,3.5,42.6,64,DE,,,12,,,,,,,,0.25um
693,2019,7,Cappello,A Dual-Band Dual-Output Power Amplifier for Carrier Aggregation,GaN,,3.5,36.7,40.4,PAE,,,9.7,,,,25.6,29.03,,,
694,2019,7,Cappello,A Dual-Band Dual-Output Power Amplifier for Carrier Aggregation,GaN,3.5 GHz,3.5,36.7,40.4,PAE,,,9.7,30 MHZ 6dB PAPR signal,,30,30.86,29,,,GaN
695,2019,10,Li,Ultra-Wideband Dual-Mode Doherty Power Amplifier Using Reciprocal Gate Bias for 5G Applications,GaN ,,3.5,41,65,DE,,,,,,,33,35.7,OFDM (200MHz),,CGH40010F
696,2020,3,Liu,Novel Dual-Band Equal-Cell Doherty Amplifier Design With Extended Power Back-Off Range,GaN ,1.4 and 3.5,3.5,42.1,68,DE,,,,,,,32.5,52.3(DE),WCDMA(5MHz),,CGH40006S
697,2020,8,Kamioka,2.5 to 10.0 GHz Band-Pass Non-Uniform Distributed GaN MMIC HPA,GaN ,,3.5,44.1,44,PAE,,,12,,,,,,,,GaN MMIC
698,2020,8,Komatsuzaki,A Dual-Mode Bias Circuit Enabled GaN Doherty Amplifier Operating in 0.85-2.05 GHz and 2.4-4.2GHz,GaN,,3.5,38.5,55,DE,,,,,,,,,,,0.15 um GaN HEMT
699,2020,7,Wang,A Dual-Band Outphasing Power Amplifier Based on Noncommersurate Transmission Line Concept,GaN,2.6 GHz,3.5,44.2,59,DE,,,16,20 MHz 8-dB PAPR,,,36.9,40.6(DE),20MHz LTE,,Wolfspeed CGH40011
700,2020,5,Lyu,Balanced-to-Doherty Mode-Reconfigurable Power Amplifier With High Efficiency and Linearity Against Load Mismatch,GaN ,,3.5,,70,DE,,,11.35,LTE,-32.54,,34.5,42.4 (DE),LTE,,Wolfspeed CGH40006P
701,2019,3,Lv,A Dual-Band GaN MMIC Power Amplifier With Hybrid Operating Modes for 5G Application,GaN,3.3-3.8,3.5,42.6,56-64,DE,,,,64 QAM(40 MHz),,40,32.5,,,,0.25um GaN
702,2020,7,Veshaj,Design strategy of a 2.8–3.6 GHz 20W GaN Doherty power amplifier,GaN,2.8 -3.6 GHz,3.5,41,55,DE,,,10, ,,,,,,Analog,HEMT CGH40010F
703,2020,11,Shen,A 3.3–4.3-GHz High-Efficiency Broadband Doherty Power Amplifier,GaN,3.3 - 4.3 GHz,3.5,44,67.5,DE,,,10.5,20MHz LTE,,,37.2,48 (DE),ACLR= -48.9 dB,Analog,HEMT CGH60015D
704,2021,2,Xie,GaN-on-Si HEMTs Fabricated With Si CMOS-Compatible Metallization for Power Amplifiers in Low-Power Mobile SoCs,GaN,,3.5,16.5,51.4,PAE,,,16,,,,,,,Analog,GaN-on-SiC
705,2021,1,Iqbal, A Miniaturized 160W Power Amplifier with 40% Efficiency at 9dB Power Back-Off Over 2.3–4.7GHz ,GaN,2.3- 4.7 GHz,3.5,52,56,DE,,,24,,,,,,,Analog,CGHV1J025D
706,2021,6,Xu,Three-Stage Load Modulated Power Amplifier With Efficiency Enhancement at Power Back-Off,GaN,3.3 - 3.6 GHz,3.5,44.9,70,DE,,,11,60MHz OFDM 7dB PAPR,,,35.8,51.9 (DE),ACLR = -55.1dB,Analog,CGH40010F
707,2021,6,Xu,Three-Stage Load Modulated Power Amplifier With Efficiency Enhancement at Power Back-Off,GaN,3.3 - 3.6 GHz,3.5,44.9,70,DE,,,11,60MHz OFDM 8dB PAPR,,,34.9,47.9 (DE),ACLR = -56.9dB,Analog,CGH40010F
708,2021,6,Xu,Three-Stage Load Modulated Power Amplifier With Efficiency Enhancement at Power Back-Off,GaN,3.3 - 3.6 GHz,3.5,44.9,70,DE,,,11,60MHz OFDM 8dB PAPR,,,34.4,46 (DE),ACLR = -57.7dB,Analog,CGH40010F
709,2021,5,Eskandari,Continuous-Mode Inverse Class-GF Power Amplifier With Second-Harmonic Impedance Optimization at Device Input,GaN,3.05 - 3.85 GHz,3.5,41.4,73,PAE,,,12.4,,,,,,,Analog,10-W GaN Cree device
710,2021,6,Zhao,Theory and Design Methodology for Reverse- Modulated Dual-Branch Power Amplifiers Applied to a 4G/5G Broadband GaN MMIC PA Design,GaN,2.6 -3.8 GHz,3.5,37,55,PAE,,,26,20MHz LTE,,,26.9,,ACLR = -46.6dB,Analog,0.25um UMS
711,2022,5,Ma,A Dual Power Mode GaN Doherty Power Amplifier Based on Cascode Transistors,GaN,3.3-3.6,3.5,40.5,37.8,PAE,,,16.4,64QAM,-20.9,100,33.5,36.1,,,250nm GaN
712,2022,4,Choi,Doherty Power Amplifier With Extended High-Efficiency Range Based on the Utilization of Multiple Output Power Back-Off Parameters,GaN,3.45 - 3.75,3.5,43.5,54.1,DE,,,11.8,5GNR,-24.6,100,36.8,50.2 (DE),,,CGH40010F
713,2011,6,Kim,High-Efficiency Envelope-Tracking Transmitter With Optimized Class-F Amplifier and 2-bit Envelope Amplifier for 3G LTE Base Station,GaN,,3.54,,,,,,10.1,,-35.6,,40,39.6,OFDM,,GaN
714,2021,9,Lyu,Hybrid Load-Modulated Balanced Amplifier With High Linearity and Extended Dynamic Range,GaN,3.56,3.56,43,63,DE,,,9,LTE,-37.5,20,34,49 (DE),,,CGH40006P
715,2016,6,Li,A Quad-Band Doherty Power Amplifier Based on T-Section Coupled Lines,GaN ,,3.57,41.7,66,DE,,,5,,,,,,,,GaN HEMT CGH40010F
716,2007,6,Crescenzi,A 2.5 Watt 3.3-3.9 GHz Power Amplifier for WiMAX Applications using a GaN HEMT in a Small Surface-Mount Package,GaN,,3.6,41.76,,,,,12.5,,-32,,33.98,26.5(DE),WiMax,,GaN
717,2018,6,Komatsuzaki,A High Efficiency 3.6-4.0 GHz Envelope-Tracking Power Amplifier Using GaN Soft-Switching Buck-Converter,GaN ,,3.6,,,,,,,,,,31.5,56(DE),LTE (20Mhz),,GaN (150nm)
718,2018,6,Oh,An S-band Internally Matched Packaged GaN HEMT with over 720W Peak Power and 58% PAE,GaN,,3.6,58.57,51,PAE,,,9.8,,,,,,,,
719,2018,6,Komatsuzaki,A High Efficiency 3.6-4.0 GHz Envelope-Tracking Power Amplifier Using GaN Soft-Switching Buck-Converter,GaN,,3.6,31.5,46.8,PAE,,,13.6,,,,,,,,0.15um
720,2018,5,Pei,High efficient and high reliable GaN RF evice for 5G communication,GaN,,3.6,52,50,DE,47,45,16,,,,,,,,GaN
721,2020,8,Sakata,A Fully-Integrated GaN Doherty Power Amplifier Module with a Compact Frequency-Dependent Compensation Circuit for 5G massive MIMO Base Stations,GaN,,3.6,45.3,59,PAE,,,28,20MHz 8-dB PAPR,,,38,45.9,,,GaN HEMT
722,2021,9,Zhang,Design of a Quadband Doherty Power Amplifier With Large Power Back-Off Range,GaN,"0.5-0.7, 1.5-1.7, 2.5-2.7, 3.5-3.7",3.6,42.5,65,DE,,,14.3,LTE,,40,34.4,42.6,,,CGH40010F 
723,2021,6,Lv,A Fully Integrated 47.6% Fractional Bandwidth GaN MMIC Distributed Efficient Power Amplifier With Modified Input Matching and Power Splitting Network,GaN,3.2 -5.2 GHz,3.6,41,55,DE,,,11.5,100 MHz OFDM 7.8dB PAPR,,,34,45 (DE),ACLR = -30dB,Analog,0.25um GaN
724,2022,4,Liu,A 30-W GaN Quasi-MMIC Doherty Power Amplifier Based on All-Distributed Inductors Load Network,GaN,3.4 - 3.8,3.6,45.1,66.5,DE,,,11,,,,,,,,250nm GaN-Si HEMT
725,2012,6,Wang,Substrate Integrated Waveguide (SIW) Power Amplifier Using CBCPWto-SIW Transition for Matching Network,GaN,,3.62,39.74,54.24,PAE,,,13.31,,,,,,,,GaN
726,2011,6,Miwa,"A 67% PAE, 100 W GaN Power Amplifier with On-Chip Harmonic Tuning Circuits for C-band Space Applications",GaN,,3.7,50,67,PAE,,,18,,,,,,,,GaN
727,2018,9,Piacibello,Design of an S-Band Chireix Outphasing Power Amplifier Based on a Systematic Bandwidth Limitation Analysis,GaN,,3.7,42.9,56,PAE,,,7.7,,,,,,,,CGH40010F from Wolfspeed 
728,2018,6,Ayari,A Robust and Reliable Behavioral Model of High Power GaN HEMTS for RF Doherty Amplifier Appliation,GaN,,3.7,45,60,PAE,35,40,14,,,,,,,,GaN
729,2020,11,Shen,A 3.3–4.3-GHz High-Efficiency Broadband Doherty Power Amplifier,GaN,3.3 - 4.3 GHz,3.7,41,65,DE,,,11.1, ,,,,,,Analog,HEMT CGH60015D
730,2020,10,Goralczyk, A 3.4 to 3.8 GHz 45 W Inverted 3-Way Doherty Power Amplifier ,GaN,3.4 - 3.8 GHz,3.7,45.8,76,DE,,,6.5,,,,,,,Analog,HEMT CG2H40010
731,2021,1,Kang,500 W Three-way GaN Doherty Power Amplifier for Sub-6 GHz 5G New Radio Base Transceiver Systems,GaN,3.6-3.8,3.7,57.1,40,DE,,,14,2-Carrier 5G NR 200MHz,,,47.5,37.7 (DE),ACLR = -44.4dB,Analog,QPD3601
732,2022,4,Saad,Symmetrical Load Modulated Balanced Power Amplifier With Asymmetrical Output Coupling for Load Modulation Continuum,GaN,3.1 -4.2,3.7,48.7,58,DE,,,6,5GNR,-16,20,37.8,51 (DE),,,CGHF40010F
733,2011,6,Schreurs,Concurrent Dual-band Power Amplifier with Different Operation Modes,GaN ,,3.8,35.7,52,PAE,,,,,,,,,,,GaN on Si HEMT
734,2018,9,Saad,A 1.8–3.8-GHz Power Amplifier With 40% Efficiency at 8-dB Power Back-Off,GaN,,3.8,44.5,42.5,DE,,,7.5,,,,,,,,
735,2019,6,Saad,An 80W Power Amplifier with 50% Efficiency at 8dB Power Back-off over 2.6-3.8 Ghz,GaN,2.55-3.8,3.8,49*,55*,DE,,,9.3,,,,,,,,
736,2022,4,Eskandari,The Second Source Harmonic Optimization in Continuous Class-GF Power Amplifiers,GaN,3.3 - 4.3,3.8,40,66,DE,,,16.9,,,,,,,,QPD1022
737,2009,7,Raffo,A new Approach to Microwave Power Amplifier Design Based on the Experimental Charaterizaion of the Intrinsic Electron-Device Load Lind,GaN,,4.0,30.2,59,PAE,,,17.8,,,,,,,,GaN HEMT (800um)
738,2010,5,Reese,Wideband Power Amplifier MMICs Utilizing GaN on SiC,GaN ,,4.0,42,38,PAE,,,,,,,,,,,GaN on SiC
739,2010,5,Yamasaki,"A 68% Efficiency, C-Band lOOW GaN Power Amplifier for Space Applications",GaN ,,4.0,50,62,PAE,,,,,,,,,,,GaN HEMT
740,2010,5,Zomorrodian,High-efficiency class E MMIC power amplifiers at 4.0 GHz using AIGaN/GaN HEMT technology,GaN,,4.0,36,57,PAE,,,13,,,,,,,,AlGaN/GaN HEMT 
741,2010,5,Zomorrodian,High-efficiency class E MMIC power amplifiers at 4.0 GHz using AIGaN/GaN HEMT technology,GaN,,4.0,33.8,61,PAE,,,14.8,,,,,,,,AlGaN/GaN HEMT 
742,2012,6,El-Gabaly,2-Watt Broadband GaN Power Amplifier RFIC using the iT Doubling Technique,GaN ,,4.0,34,35,DE,30,,12.4,,,,,,,,GaN (800nm)
743,2013,6,Ezzeddine,High-Power GaN MMIC PA Over 40-4000MHz,GaN,,4.0,45,22,PAE,,,32,,,,,,,,GaN
744,2015,9,Wook Kim,An Output Matching Technique for a GaN Distributed Power Amplifier MMIC Using Tapered Drain Shunt Capacitors,GaN,,4.0,41.5,27,PAE,,,,,,,,,,,0.25um GaN HEMT
745,2015,12,Barisich,A Reactively Matched 1.0–11.5 GHz Hybrid Packaged GaN High Power Amplifier,GaN,1-11.5,4.0,37.5*,47,PAE,,,,,,,,,,,
746,2018,11,Duffy,Efficient Multisignal 2–4-GHz Power Amplifier With Power Tracking,GaN,,4.0,40,44,DE,,,8,,,10,32.9,40.8,10-MHz LTE signal,,Cree (Wolfspeed) CGH40010F GaN on SiC HEMT
747,2019,10,Li,Ultra-Wideband Dual-Mode Doherty Power Amplifier Using Reciprocal Gate Bias for 5G Applications,GaN ,,4.0,41,54,DE,,,,,,,,,,,CGH40010F
748,2021,5,Rubio,3–20-GHz GaN MMIC Power Amplifier DesignThrough a COUT Compensation Strategy,GaN,3 - 20 GHz,4.0,32,45,DE,,,15,,,,,,,Analog,100nm GaN-on-Si
749,2022,6,Hoffmann,A 4 GHz Digital Class-E Outphasing PA,GaN,4,4.0,39.24,64,DE,,,23,,,,,,,,350um GaN-HEMT
750,2021,6,Poluri,Designing a Broadband Amplifier Without Load–Pull,GaN,2.4 - 4.6 GHz,4.2,38,52,DE,,,14,,,,,,,Analog,CGH40010F
751,2018,9,Ishikawa,Fully Integrated Asymmetric Doherty Amplifier Based on Two-Power-Level Impedance Optimization,GaN,,4.3,36,53,PAE,,,17,,,,,,,,0.25um
752,2018,9,Ishikawa ,Fully Integrated Asymmetric Doherty Amplifier Based on Two-Power-Level Impedance Optimization,GaN,,4.3,36,53,PAE,,,15,,,,,,,,0.25μm GaN/SiC HEMT
753,2018,5,Chen,Design of broadband high efficiency GaN power amplifiers,GaN,,4.3,36.2,53,DE,,,11,,,,,,,,GaN
754,2014,6,Sakalas,Iterative Design of a Harmonically Tuned Multi-Octave Broadband Power Amplifier,GaN ,,4.5,43,57,DE,,,,,,,,,,,GaN HEMT
755,2018,4,Tran,Bounded performance technique for broadband amplifier design,GaN,,4.5,42.55,56,DE,,,,,,20,32.5,,LTE(20MHz),,GaN
756,2019,10,Li,Ultra-Wideband Dual-Mode Doherty Power Amplifier Using Reciprocal Gate Bias for 5G Applications,GaN ,,4.5,41,55,DE,,,,,,,33,33,OFDM (200MHz),,CGH40010F
757,2018,11,Watanabe,A High-Efficiency 4.35-4.85 GHz Doherty Amplifier for Base Station Applications,GaN,,4.6,47,60,DE,,,12,,,,,,,,
758,2019,6,Komatsuzake,"A Novel 1.4-4.8 Ghz Ultra-Wideband, over 45% High Efficiency Digitally Assisted Frequency-Periodic Load Modulated Amplifier",GaN,,4.6,37.5,62,DE,,,,,,,,,,,
759,2021,6,Lv,A Fully Integrated 47.6% Fractional Bandwidth GaN MMIC Distributed Efficient Power Amplifier With Modified Input Matching and Power Splitting Network,GaN,3.2 -5.2 GHz,4.6,39.5,50,DE,,,12,100 MHz OFDM 7.8dB PAPR,,,37,45 (DE),ACLR = -30dB,Analog,0.25um GaN
760,2018,9,Demenitroux,New Class-F High Efficiency Multi-bias Optimised GaN HPA for C-band Applications,GaN,,4.7,40,73,PAE,,,15,,,,,,,,
761,2019,6,Giamsjemg,A Fully Integrated C-band GaN MMIC Doherty Power Amplifier with High Gain and High Efficiency for 5G Application,GaN,,4.7,41.5,62,PAE,,,17,LTE (40Mhz),,,33.7,47,,,
762,2009,6,Shigematsu,C-band 340-W and X-band 100-W GaN Power Amplifiers with Over 50-% PAE,GaN ,,4.8,55.35,53,PAE,,,,,,,,,,,GaN-HEMTs (800nm)
763,2020,Volume 3,Nikandish,"A Fully Integrated Reconfigurable Multimode Class-F2,3 GaN Power Amplifier",GaN, ,4.8,33.1,42,DE,,,12.1,200MHz 256 QAM,-26,,28.5,30 (DE),256 QAM,Analog,250nm GaN-onSiC
764,2018,3,Liu,A Highly Efficient Fully Integrated GaN Power Amplifier for 5-GHz WLAN 802.11ac Application,GaN,,4.9,36.2,61.3,PAE,30,36,14,,-28,,27.5,34," VHT80 MCS9 (20 MHz, 64 QAM)",,0.25-um GaN-on-SiC
765,2018,5,Liu,A Highly Efficient Fully Integrated GaN Power Amplifier for 5-GHz WLAN 802.11ac Application,GaN,,4.9,30,61,PAE,,,18,80 MHz 256QAM,32,,25,28,GaN-on-Sic,,
